keyframe_id,time,x,y,theta,dr_x,dr_y,dr_theta,cov_xx,cov_yy,cov_tt,nssm_constraints
0,1506456462.224,0.010478792629486327,-0.009596645598235361,-0.013012328931750807,0.010478792629486327,-0.009596645598235361,-0.013012328931750807,0.01,0.01,0.0001,0
1,1506456471.386,0.8889110238253473,-0.5353412164545943,-0.0069636001556813995,0.8889110238253473,-0.5353412164545943,-0.006963600155681399,0.2600269999563649,0.2600778050974939,0.0026000000000000007,0
2,1506456474.515,1.9345666318647499,-0.4373294075558911,0.07750146102815089,1.9345666318647499,-0.43732940755589106,0.07750146102815089,0.5100338128752994,0.5131121989708445,0.005100000000000001,0
3,1506456482.614,2.7164675760138945,-0.25645516016446884,0.6428309745981604,2.716467576013895,-0.2564551601644687,0.6428309745981604,0.7624959108817277,0.7683969829696505,0.007599999999999999,0
4,1506456486.191,3.599579884250486,0.31558203191259265,0.3250519568437278,3.599579884250487,0.3155820319125931,0.3250519568437279,1.010330679092908,1.042263196463586,0.010100000000000003,0
5,1506456489.072,4.388731421719245,0.9806135998745407,0.8291187799371408,4.388731421719245,0.9806135998745412,0.8291187799371408,1.2689636995106812,1.3229817158131068,0.01260000000000001,0
6,1506456492.955,5.081135244373684,1.7624838958997944,0.8894561152309833,5.081135244373685,1.7624838958997955,0.8894561152309833,1.52272555786676,1.6317642756680677,0.01510000000000001,0
7,1506456496.401,5.756185183504384,2.5431469168597283,0.9071811368553367,5.7561851835043845,2.5431469168597287,0.907181136855337,1.7751413387165211,1.9706182964295136,0.017599999999999966,0
8,1506456500.56,6.520896854470422,3.336071314982547,0.922197098696602,6.520896854470422,3.336071314982549,0.9221970986966022,2.030107269612096,2.3524365557530795,0.020100000000000035,0
9,1506456503.904,7.1551188879223755,4.122229355826356,0.8740762411063769,7.1551188879223755,4.1222293558263585,0.874076241106377,2.2730970258119,2.7733953772409663,0.022600000000000044,0
10,1506456507.44,7.93565157184943,4.797008389290306,0.861381870394196,7.93565157184943,4.797008389290308,0.8613818703941962,2.5247095974480125,3.235622579211026,0.02509999999999997,0
11,1506456510.046,8.602689746526545,5.546483352447642,0.8687966895704374,8.602689746526545,5.546483352447645,0.8687966895704377,2.7767864467079053,3.7393672168618375,0.027600000000000017,0
12,1506456522.002,8.143075890564543,6.460166110053622,1.3451270941345848,8.143075890564543,6.460166110053625,1.345127094134585,3.2328635824815,3.8977726495990375,0.03009999999999988,0
13,1506456533.389,7.831039452422667,7.431739128406093,1.6142628535925272,7.831039452422667,7.431739128406097,1.6142628535925274,3.700461507614935,4.145159331845592,0.03259999999999992,0
14,1506456548.16,6.95697887733802,7.954889962677642,2.0857418548807947,6.956978877338021,7.954889962677646,2.0857418548807947,4.382645573172422,4.018019106911773,0.03510000000000001,0
