time,x,y,z,qx,qy,qz,qw
1506456462.224,0.010478792629486328,-0.009596645598235363,0.0,0.0,0.0,-0.006506118564791337,0.9999788349866315
1506456462.425,0.02265358333623297,-0.020746513923566252,0.0,0.0,0.0,-0.009160989304421932,0.9999580372570462
1506456462.599,0.033192957131114094,-0.030398640153824374,0.0,0.0,0.0,-0.0100713546825759,0.9999492826213027
1506456462.769,0.043490049622358494,-0.03982888237803763,0.0,0.0,0.0,-0.010960784337086004,0.9999399287990833
1506456462.97,0.055664840270899234,-0.050978750702916555,0.0,0.0,0.0,-0.012012392260142512,0.999927848613183
1506456463.144,0.06904946691374708,-0.06511710689666231,0.0,0.0,0.0,-0.012922728972651763,0.999916498051662
1506456463.314,0.08270551963440809,-0.07984357092419353,0.0,0.0,0.0,-0.013222482617265222,0.999912579155516
1506456463.484,0.09636159140392744,-0.09457005558935129,0.0,0.0,0.0,-0.011590096939053445,0.9999328325707398
1506456463.655,0.11009798722762229,-0.10938316115530815,0.0,0.0,0.0,-0.009948078539275774,0.9999505166423869
1506456463.826,0.12383438300034261,-0.12419626578951856,0.0,0.0,0.0,-0.008306033314135016,0.999965504310316
1506456463.997,0.13757077882403745,-0.13900937135547542,0.0,0.0,0.0,-0.006663965691466556,0.9999777955341124
1506456464.167,0.1382193927202172,-0.15129678353643378,0.0,0.0,0.0,-0.005031482286344049,0.9999873420128887
1506456464.337,0.13863433760923954,-0.1635403634195657,0.0,0.0,0.0,-0.005161060420068386,0.9999866816389809
1506456464.511,0.13905904637717673,-0.1760720402381296,0.0,0.0,0.0,-0.008346845305477012,0.9999651644799664
1506456464.681,0.13947399183450482,-0.18831563688998607,0.0,0.0,0.0,-0.011459313130359812,0.9999343399156669
1506456464.852,0.1398913779756009,-0.20063124962416187,0.0,0.0,0.0,-0.016034950493505198,0.9998714319164594
1506456465.036,0.14188789012227854,-0.2139671547042049,0.0,0.0,0.0,-0.019403374019204327,0.9998117368168223
1506456465.207,0.1496553992595858,-0.22668185089223017,0.0,0.0,0.0,-0.022533614281793946,0.9997460858775088
1506456465.378,0.15742290840412437,-0.23939654614896094,0.0,0.0,0.0,-0.019732788205428398,0.9998052895787458
1506456465.547,0.16509956523339805,-0.2519625247710794,0.0,0.0,0.0,-0.013115889458442508,0.9999139830223968
1506456465.722,0.1730487681959213,-0.26497463644876496,0.0,0.0,0.0,-0.006263467711512128,0.9999803842937255
1506456465.894,0.18086170890074932,-0.27776369891258407,0.0,0.0,0.0,0.0004717808355631907,0.9999998887114154
1506456466.097,0.18639915411014873,-0.2925381286987472,0.0,0.0,0.0,0.00842087481369426,0.9999645438051151
1506456466.27,0.18768773993387677,-0.30483151139078624,0.0,0.0,0.0,-0.029489206623309082,0.999565098776827
1506456466.44,0.18895398011819875,-0.316911713226901,0.0,0.0,0.0,-0.030894816230539548,0.9995226412293426
1506456466.61,0.1902202185773282,-0.3289918973539575,0.0,0.0,0.0,-0.0326781780674445,0.9994659257214287
1506456466.785,0.19152370198662902,-0.34142740713989267,0.0,0.0,0.0,-0.03451388674739581,0.9994042183328966
1506456466.955,0.19278994044575848,-0.35350759126694914,0.0,0.0,0.0,-0.03904638615695226,0.9992373990839625
1506456467.155,0.1981773838701571,-0.3648047678912408,0.0,0.0,0.0,-0.04114383404853185,0.9991532339535247
1506456467.324,0.203685977030543,-0.3736358016194001,0.0,0.0,0.0,-0.04032670751494116,0.9991865474779994
1506456467.498,0.20935755018053015,-0.3827281144118786,0.0,0.0,0.0,-0.03706805846614558,0.9993127433599306
1506456467.667,0.21486615115567978,-0.39155916123962775,0.0,0.0,0.0,-0.0326764540455012,0.9994659820879409
1506456467.838,0.22043993788939267,-0.40049470884100535,0.0,0.0,0.0,-0.04992068022562703,0.9987531855697936
1506456468.022,0.22648043703052195,-0.41024190626520496,0.0,0.0,0.0,-0.042058168806432206,0.9991151637507308
1506456468.195,0.2324573391007939,-0.42032261083568223,0.0,0.0,0.0,-0.0376264025242962,0.9992918761968795
1506456468.366,0.2383651490283964,-0.4302867838467713,0.0,0.0,0.0,-0.03722690788537911,0.9993068384281644
1506456468.566,0.24527486969789042,-0.4419407893841283,0.0,0.0,0.0,-0.032535727865287356,0.9994705730596954
1506456468.739,0.2512517799903674,-0.45202150705735916,0.0,0.0,0.0,-0.0336809561468667,0.999432635645361
1506456468.908,0.2570904895021209,-0.46186913447456024,0.0,0.0,0.0,-0.03496790320719431,0.999388435867302
1506456469.098,0.28092123672557356,-0.4706244382582558,0.0,0.0,0.0,-0.03713373508809857,0.9993103050196205
1506456469.272,0.31758955055907295,-0.476651337054882,0.0,0.0,0.0,-0.036168252405741196,0.9993457147143399
1506456469.441,0.3532041532334601,-0.4825050455782607,0.0,0.0,0.0,-0.03306866639818301,0.9994530820917237
1506456469.614,0.3896617449672911,-0.48849731038823396,0.0,0.0,0.0,-0.03205958897708649,0.9994859592583681
1506456469.788,0.42633005880079056,-0.4945242091848602,0.0,0.0,0.0,-0.03156310451590832,0.999501761095656
1506456469.958,0.46215538362582054,-0.5004125526266382,0.0,0.0,0.0,-0.02933891292217276,0.9995695214383766
1506456470.141,0.5118612037409999,-0.5065556893023384,0.0,0.0,0.0,-0.02583625037337413,0.9996661883682194
1506456470.312,0.5614085495304102,-0.5122415782239331,0.0,0.0,0.0,-0.0258641865376304,0.999665465970865
1506456470.483,0.6109558953125892,-0.5179274680768222,0.0,0.0,0.0,-0.025072293981840292,0.9996856406263361
1506456470.653,0.6602135115427195,-0.5235801091376849,0.0,0.0,0.0,-0.020770429902308617,0.9997842713514117
1506456470.853,0.718163566979827,-0.5302302657494551,0.0,0.0,0.0,-0.015708934066811567,0.9998766070823362
1506456471.044,0.7753651330998952,-0.5351435667165407,0.0,0.0,0.0,-0.010874823692683321,0.9999408673564917
1506456471.215,0.8321380784626226,-0.5352423915855671,0.0,0.0,0.0,-0.006546683452861565,0.9999785702382666
1506456471.386,0.8889110238253499,-0.5353412164545934,0.0,0.0,0.0,-0.003481793042907453,0.9999939385402326
1506456471.591,0.9569722094399449,-0.5354596915871686,0.0,0.0,0.0,-0.000630497817237569,0.9999998012362314
1506456471.763,1.0140771362480543,-0.5355590946444625,0.0,0.0,0.0,0.001761810488103452,0.9999984480106976
1506456471.933,1.0705181001653998,-0.5356573413252212,0.0,0.0,0.0,0.004126293404325851,0.9999914868151336
1506456472.134,1.1375420839069847,-0.5328276731071134,0.0,0.0,0.0,0.00692191433539609,0.9999760432640041
1506456472.317,1.1986962933860776,-0.5289103990552864,0.0,0.0,0.0,0.009238543057377514,0.9999573237504573
1506456472.491,1.256842974940476,-0.5251857753912714,0.0,0.0,0.0,0.010609727557207547,0.9999437152565948
1506456472.712,1.3306959188354635,-0.5204550757846582,0.0,0.0,0.0,0.01235125979015711,0.9999237202815003
1506456472.901,1.3938552797201493,-0.5164093614107936,0.0,0.0,0.0,0.01384059625894594,0.999904214360154
1506456473.078,1.4544242027290855,-0.5106034799166218,0.0,0.0,0.0,0.015235343306114825,0.9998839354216792
1506456473.247,1.5139759891635332,-0.5026156430611756,0.0,0.0,0.0,0.016567022261703323,0.9998627574689339
1506456473.42,1.574937351944292,-0.49443873547116757,0.0,0.0,0.0,0.019060421615260417,0.9998183336625952
1506456473.589,1.6344891383859714,-0.4864508976844269,0.0,0.0,0.0,0.021715460488232256,0.9997641915850878
1506456473.759,1.6943933608895485,-0.4784157876503884,0.0,0.0,0.0,0.024386057725309707,0.9997026158756502
1506456473.944,1.759583200679441,-0.46967170315373846,0.0,0.0,0.0,0.02729209533034696,0.9996275013886319
1506456474.114,1.81368244599558,-0.4604514825362333,0.0,0.0,0.0,0.029962307529167644,0.9995510292764085
1506456474.344,1.8830175170284578,-0.4471894437444489,0.0,0.0,0.0,0.034285591309045786,0.9994120762871485
1506456474.515,1.9345666318647525,-0.4373294075558889,0.0,0.0,0.0,0.03874103310258257,0.9992492843901088
1506456474.706,1.992144877125437,-0.426316151810082,0.0,0.0,0.0,0.0437166641683223,0.9990439696399724
1506456474.876,2.043392485176178,-0.4165137860348368,0.0,0.0,0.0,0.048144324367556425,0.9988403896675342
1506456475.077,2.094573654311521,-0.4071609059941431,0.0,0.0,0.0,0.053378158689892014,0.9985743698768142
1506456475.251,2.1257592513391637,-0.4021829006076816,0.0,0.0,0.0,0.05790776322986824,0.9983219375320336
1506456475.421,2.1562279474160873,-0.39731933123560337,0.0,0.0,0.0,0.06136721757251818,0.9981152561740589
1506456475.621,2.192073464649549,-0.39159748480200085,0.0,0.0,0.0,0.06520819110772298,0.9978716810354219
1506456475.8,2.2241551771922166,-0.38647643710873464,0.0,0.0,0.0,0.06864504229965641,0.997641146990078
1506456475.97,2.254623873218166,-0.38161286680491,0.0,0.0,0.0,0.07190834074064165,0.9974112444382848
1506456476.172,2.2518608495252064,-0.38791560074822085,0.0,0.0,0.0,0.07578490018652746,0.9971241893082918
1506456476.346,2.243626350818253,-0.39515988181125794,0.0,0.0,0.0,0.07900034777438877,0.9968745884270125
1506456476.516,2.235581148418207,-0.4022376301201146,0.0,0.0,0.0,0.08195798794069456,0.9966357851355293
1506456476.71,2.2264001566233818,-0.4103145860405518,0.0,0.0,0.0,0.0853322927798272,0.996352547951245
1506456476.885,2.2181183366589843,-0.4176004989169995,0.0,0.0,0.0,0.08837528524219543,0.9960872496716142
1506456477.055,2.21018270402474,-0.4247340998666259,0.0,0.0,0.0,0.09133054789665682,0.995820631951807
1506456477.241,2.201750860523308,-0.43266686298301393,0.0,0.0,0.0,0.09456302705834686,0.9955188767238733
1506456477.427,2.1933190062324432,-0.44059963626048043,0.0,0.0,0.0,0.09648731481324947,0.995334214261787
1506456477.596,2.185657813872149,-0.4478073634755647,0.0,0.0,0.0,0.0979499737500326,0.9951913397143124
1506456477.792,2.1767726347613814,-0.4561666297149348,0.0,0.0,0.0,0.09964604852461012,0.9950229469783252
